"district","neighbourhood","latitude","longitude","room_type","price","minimum_nights","number_of_reviews","availability_365"
"Manhattan","East Harlem",40.79239,-73.94535,"Entire home/apt",135,28,115,341
"Manhattan","East Harlem",40.79442,-73.93433,"Entire home/apt",145,1,102,308
"Manhattan","Hell's Kitchen",40.76166,-73.99675,"Entire home/apt",179,30,83,292
"Manhattan","Harlem",40.80903,-73.94197,"Entire home/apt",325,5,89,153
"Manhattan","Midtown",40.75348,-73.97065,"Entire home/apt",190,30,136,120
"Manhattan","Lower East Side",40.72066,-73.98506,"Entire home/apt",200,3,100,191
"Manhattan","Kips Bay",40.73833,-73.98186,"Entire home/apt",195,30,139,325
"Manhattan","West Village",40.72969,-74.00635,"Entire home/apt",200,2,37,257
"Manhattan","Chelsea",40.75127,-73.99637,"Entire home/apt",226,5,34,302
"Manhattan","Lower East Side",40.71876,-73.98851,"Entire home/apt",154,1,238,246
"Manhattan","West Village",40.73066,-74.00287,"Entire home/apt",700,3,131,296
"Manhattan","Chinatown",40.71582,-73.99902,"Entire home/apt",119,1,49,0
"Manhattan","Greenwich Village",40.73129,-73.99944,"Entire home/apt",850,3,107,249
"Manhattan","East Harlem",40.79493,-73.94462,"Entire home/apt",200,3,49,0
"Manhattan","Upper West Side",40.79771,-73.96323,"Entire home/apt",185,2,16,261
"Manhattan","Nolita",40.72004,-73.99424,"Entire home/apt",495,7,25,338
"Manhattan","West Village",40.74031,-74.00532,"Entire home/apt",325,4,46,20
"Manhattan","Chelsea",40.74618,-74.00392,"Entire home/apt",195,365,10,0
"Manhattan","Upper East Side",40.76928,-73.95021,"Entire home/apt",189,2,314,206
"Manhattan","West Village",40.72953,-74.00462,"Entire home/apt",145,7,11,0
"Manhattan","Lower East Side",40.72087,-73.99022,"Entire home/apt",153,31,59,27
"Manhattan","West Village",40.73312,-74.0042,"Entire home/apt",300,4,153,246
"Manhattan","Upper West Side",40.79433,-73.9765,"Entire home/apt",225,2,129,107
"Manhattan","Upper East Side",40.76128,-73.96463,"Entire home/apt",485,7,11,0
"Manhattan","Upper West Side",40.78448,-73.97289,"Entire home/apt",109,30,36,286
"Manhattan","Upper West Side",40.78304,-73.97447,"Entire home/apt",167,30,16,252
"Manhattan","Lower East Side",40.71992,-73.98773,"Entire home/apt",195,4,68,271
"Manhattan","Little Italy",40.71905,-73.99677,"Entire home/apt",199,28,89,0
"Manhattan","Harlem",40.79951,-73.95257,"Entire home/apt",130,2,35,41
"Manhattan","Chelsea",40.75114,-74.00195,"Entire home/apt",350,3,64,18
"Manhattan","East Village",40.72454,-73.99151,"Entire home/apt",250,3,24,16
"Manhattan","Midtown",40.75282,-73.97315,"Entire home/apt",125,365,19,365
"Manhattan","Greenwich Village",40.73388,-73.99452,"Entire home/apt",150,2,203,300
"Manhattan","Washington Heights",40.85774,-73.92901,"Entire home/apt",56,122,20,216
"Manhattan","East Village",40.72257,-73.98465,"Entire home/apt",299,3,49,365
"Manhattan","West Village",40.73301,-74.00268,"Entire home/apt",1300,5,28,297
"Manhattan","East Village",40.73168,-73.98662,"Entire home/apt",139,30,52,314
"Manhattan","Chinatown",40.71601,-73.99123,"Entire home/apt",90,3,107,0
"Manhattan","East Village",40.7241,-73.97899,"Entire home/apt",180,7,24,125
"Manhattan","Hell's Kitchen",40.76001,-73.99133,"Entire home/apt",175,3,10,0
"Manhattan","West Village",40.73362,-74.00923,"Entire home/apt",240,5,94,134
"Manhattan","Chelsea",40.74494,-73.9998,"Entire home/apt",385,1,63,364
"Manhattan","Hell's Kitchen",40.76147,-73.99152,"Entire home/apt",165,2,72,10
"Manhattan","East Village",40.72948,-73.98694,"Entire home/apt",179,8,15,0
"Manhattan","East Village",40.72506,-73.98865,"Entire home/apt",219,2,129,220
"Manhattan","West Village",40.72891,-74.00293,"Entire home/apt",450,20,157,0
"Manhattan","Chinatown",40.71283,-73.99703,"Entire home/apt",139,30,37,153
"Manhattan","Upper West Side",40.77338,-73.98887,"Entire home/apt",209,7,14,205
"Manhattan","Upper West Side",40.77611,-73.97808,"Entire home/apt",150,1,88,0
"Manhattan","Upper West Side",40.7909,-73.96762,"Entire home/apt",300,3,36,29
"Manhattan","SoHo",40.72509,-74.00304,"Entire home/apt",250,5,152,109
"Manhattan","East Harlem",40.7968,-73.93611,"Entire home/apt",150,7,12,0
"Manhattan","East Harlem",40.79596,-73.94463,"Entire home/apt",90,3,51,311
"Manhattan","Upper West Side",40.77508,-73.9799,"Entire home/apt",150,2,11,2
"Manhattan","Upper West Side",40.78443,-73.97399,"Entire home/apt",109,30,18,285
"Manhattan","Lower East Side",40.72209,-73.99274,"Entire home/apt",99,30,13,289
"Manhattan","West Village",40.73237,-74.00608,"Entire home/apt",199,14,65,155
"Manhattan","Harlem",40.8076,-73.94433,"Entire home/apt",135,30,25,249
"Manhattan","Gramercy",40.73294,-73.98282,"Entire home/apt",245,5,18,0
"Manhattan","Washington Heights",40.83456,-73.9457,"Entire home/apt",115,3,18,31
"Manhattan","Upper West Side",40.77892,-73.98238,"Entire home/apt",499,30,64,157
"Manhattan","Upper East Side",40.7761,-73.95265,"Entire home/apt",219,4,102,280
"Manhattan","Upper East Side",40.77471,-73.95574,"Entire home/apt",159,2,32,7
"Manhattan","Kips Bay",40.74016,-73.97665,"Entire home/apt",106,3,12,271
"Manhattan","Midtown",40.75023,-73.98293,"Entire home/apt",299,10,19,101
"Manhattan","Upper West Side",40.78867,-73.96809,"Entire home/apt",179,3,297,205
"Manhattan","Upper West Side",40.79526,-73.9655,"Entire home/apt",387,1,23,0
"Manhattan","Upper West Side",40.77577,-73.98258,"Entire home/apt",99,2,36,0
"Manhattan","Upper East Side",40.77631,-73.95289,"Entire home/apt",121,1,16,351
"Manhattan","Hell's Kitchen",40.76774,-73.9892,"Entire home/apt",350,4,24,362
"Manhattan","Lower East Side",40.71868,-73.99017,"Entire home/apt",140,1,53,0
"Manhattan","East Village",40.72143,-73.98117,"Entire home/apt",189,3,265,355
"Manhattan","Chelsea",40.74964,-73.99158,"Entire home/apt",265,4,75,324
"Manhattan","Chinatown",40.71515,-73.99029,"Entire home/apt",129,3,132,171
"Manhattan","East Village",40.72986,-73.97913,"Entire home/apt",199,6,41,36
"Manhattan","Midtown",40.75407,-73.96713,"Entire home/apt",110,7,27,192
"Manhattan","East Village",40.72899,-73.97792,"Entire home/apt",549,30,58,200
"Manhattan","Upper West Side",40.78161,-73.97898,"Entire home/apt",145,3,22,0
"Manhattan","Hell's Kitchen",40.75643,-73.99046,"Entire home/apt",200,7,13,327
"Manhattan","Midtown",40.76082,-73.97548,"Entire home/apt",250,3,116,0
"Manhattan","Harlem",40.80151,-73.9522,"Entire home/apt",165,2,70,15
"Manhattan","Gramercy",40.73677,-73.98084,"Entire home/apt",125,30,128,0
"Manhattan","Financial District",40.70621,-74.01525,"Entire home/apt",225,4,27,169
"Manhattan","Harlem",40.83091,-73.94223,"Entire home/apt",135,5,38,253
"Manhattan","East Village",40.72634,-73.98267,"Entire home/apt",225,3,93,0
"Manhattan","Upper East Side",40.78521,-73.95489,"Entire home/apt",200,7,30,224
"Manhattan","Upper East Side",40.76494,-73.95804,"Entire home/apt",300,4,19,84
"Manhattan","East Village",40.72812,-73.97966,"Entire home/apt",147,2,16,0
"Manhattan","SoHo",40.72057,-73.99976,"Entire home/apt",225,3,134,231
"Manhattan","Nolita",40.7234,-73.99439,"Entire home/apt",269,28,81,122
"Manhattan","Nolita",40.72278,-73.9967,"Entire home/apt",225,2,244,252
"Manhattan","Midtown",40.75816,-73.96457,"Entire home/apt",275,2,16,167
"Manhattan","Financial District",40.70537,-74.00992,"Entire home/apt",160,1,36,365
"Manhattan","Hell's Kitchen",40.7559,-73.99469,"Entire home/apt",325,30,18,364
"Manhattan","Midtown",40.74406,-73.98273,"Entire home/apt",325,2,197,207
"Manhattan","Washington Heights",40.83451,-73.93885,"Entire home/apt",275,3,50,277
"Manhattan","Financial District",40.70633,-74.00974,"Entire home/apt",265,4,33,0
"Manhattan","West Village",40.73775,-74.00344,"Entire home/apt",151,88,19,249
"Manhattan","Financial District",40.70917,-74.0146,"Entire home/apt",208,6,100,310
"Manhattan","Chelsea",40.74572,-73.99965,"Entire home/apt",125,9,10,0
"Manhattan","Upper West Side",40.78911,-73.97396,"Entire home/apt",395,14,39,50
"Manhattan","Upper West Side",40.77593,-73.97699,"Entire home/apt",90,4,22,239
"Manhattan","Upper West Side",40.77555,-73.9767,"Entire home/apt",250,3,73,284
"Manhattan","Lower East Side",40.71986,-73.9869,"Entire home/apt",225,4,13,195
"Manhattan","Inwood",40.86717,-73.9194,"Entire home/apt",99,20,11,249
"Manhattan","East Village",40.72981,-73.98318,"Entire home/apt",239,2,67,78
"Manhattan","Inwood",40.86929,-73.92421,"Entire home/apt",50,2,123,21
"Manhattan","Chelsea",40.7476,-73.99698,"Entire home/apt",139,4,23,0
"Manhattan","West Village",40.73357,-74.00723,"Entire home/apt",174,2,269,167
"Manhattan","East Village",40.72917,-73.98811,"Entire home/apt",210,1,178,0
"Manhattan","Upper East Side",40.76719,-73.95303,"Entire home/apt",150,2,23,0
"Manhattan","Kips Bay",40.74134,-73.98113,"Entire home/apt",129,2,47,177
"Manhattan","Lower East Side",40.72106,-73.98384,"Entire home/apt",311,3,31,28
"Manhattan","Lower East Side",40.72147,-73.99208,"Entire home/apt",210,1,230,319
"Manhattan","Upper West Side",40.77137,-73.98943,"Entire home/apt",180,5,13,0
"Manhattan","East Village",40.72893,-73.98278,"Entire home/apt",89,30,57,0
"Manhattan","East Village",40.73009,-73.9827,"Entire home/apt",89,30,70,4
"Manhattan","East Village",40.72955,-73.98298,"Entire home/apt",99,30,62,8
"Manhattan","East Village",40.72693,-73.98521,"Entire home/apt",155,6,17,0
"Manhattan","Kips Bay",40.74428,-73.97809,"Entire home/apt",135,3,134,236
"Manhattan","Chelsea",40.74087,-74.00226,"Entire home/apt",380,3,16,0
"Manhattan","Lower East Side",40.7195,-73.98022,"Entire home/apt",125,1,261,212
"Manhattan","Hell's Kitchen",40.75636,-73.9939,"Entire home/apt",80,30,32,365
"Manhattan","Civic Center",40.71164,-74.00774,"Entire home/apt",328,2,319,112
"Manhattan","East Village",40.72457,-73.98453,"Entire home/apt",185,2,62,0
"Manhattan","Midtown",40.75632,-73.96464,"Entire home/apt",99,14,30,317
"Manhattan","Upper West Side",40.79183,-73.97172,"Entire home/apt",199,3,24,0
"Manhattan","Chinatown",40.71456,-73.99978,"Entire home/apt",165,5,22,316
"Manhattan","Chinatown",40.71668,-73.99073,"Entire home/apt",150,2,162,231
"Manhattan","SoHo",40.72162,-74.00414,"Entire home/apt",499,2,63,26
"Manhattan","East Village",40.72686,-73.9797,"Entire home/apt",220,4,162,341
"Manhattan","West Village",40.73214,-74.00188,"Entire home/apt",130,4,22,77
"Manhattan","Greenwich Village",40.72903,-74.00028,"Entire home/apt",180,3,18,0
"Manhattan","Lower East Side",40.72232,-73.98686,"Entire home/apt",104,3,57,6
"Manhattan","East Village",40.72454,-73.97944,"Entire home/apt",175,4,13,0
"Manhattan","East Village",40.72756,-73.97939,"Entire home/apt",150,7,19,24
"Manhattan","Upper West Side",40.79218,-73.97926,"Entire home/apt",185,2,165,259
"Manhattan","East Village",40.73044,-73.98683,"Entire home/apt",160,1,15,0
"Manhattan","Chelsea",40.74348,-73.9998,"Entire home/apt",200,1,60,260
"Manhattan","Harlem",40.82823,-73.94691,"Entire home/apt",90,4,266,150
"Manhattan","East Village",40.72915,-73.98019,"Entire home/apt",118,3,141,13
"Manhattan","Chelsea",40.74767,-74.01061,"Entire home/apt",135,6,42,170
"Manhattan","Harlem",40.80719,-73.94253,"Entire home/apt",100,2,24,0
"Manhattan","Flatiron District",40.74129,-73.98374,"Entire home/apt",265,3,26,341
"Manhattan","Harlem",40.80654,-73.95019,"Entire home/apt",220,3,194,338
"Manhattan","Greenwich Village",40.7311,-73.99913,"Entire home/apt",165,30,19,259
"Manhattan","Nolita",40.72184,-73.9944,"Entire home/apt",300,30,92,106
"Manhattan","East Village",40.72829,-73.98156,"Entire home/apt",99,30,66,0
"Manhattan","Chelsea",40.74403,-73.99581,"Entire home/apt",225,4,153,205
"Manhattan","Upper West Side",40.79358,-73.97043,"Entire home/apt",102,3,36,21
"Manhattan","East Village",40.72924,-73.98113,"Entire home/apt",195,2,160,68
"Manhattan","Washington Heights",40.83064,-73.94076,"Entire home/apt",170,1,47,17
"Manhattan","Hell's Kitchen",40.76184,-73.99334,"Entire home/apt",217,2,43,0
"Manhattan","Harlem",40.82445,-73.95243,"Entire home/apt",185,1,102,91
"Manhattan","East Village",40.72855,-73.98265,"Entire home/apt",88,30,60,0
"Manhattan","Hell's Kitchen",40.76304,-73.9888,"Entire home/apt",195,3,22,59
"Manhattan","Upper East Side",40.77424,-73.94839,"Entire home/apt",110,10,16,0
"Manhattan","Financial District",40.70587,-74.01534,"Entire home/apt",500,2,63,79
"Manhattan","Upper East Side",40.78024,-73.94813,"Entire home/apt",160,4,16,0
"Manhattan","Upper West Side",40.7964,-73.9675,"Entire home/apt",210,3,25,347
"Manhattan","Chelsea",40.74664,-73.99441,"Entire home/apt",399,3,15,0
"Manhattan","Lower East Side",40.71788,-73.98975,"Entire home/apt",300,1,45,111
"Manhattan","Harlem",40.81757,-73.94709,"Entire home/apt",220,3,33,174
"Manhattan","Inwood",40.86821,-73.92252,"Entire home/apt",120,10,25,129
"Manhattan","East Village",40.72274,-73.97934,"Entire home/apt",295,3,85,261
"Manhattan","West Village",40.73514,-73.99954,"Entire home/apt",197,14,29,0
"Manhattan","Upper West Side",40.80053,-73.96651,"Entire home/apt",90,30,23,0
"Manhattan","Hell's Kitchen",40.75767,-73.99034,"Entire home/apt",190,1,195,69
"Manhattan","East Village",40.72603,-73.98751,"Entire home/apt",151,2,214,256
"Manhattan","Upper West Side",40.78292,-73.97438,"Entire home/apt",120,30,18,337
"Manhattan","Hell's Kitchen",40.7641,-73.98803,"Entire home/apt",165,3,25,0
"Manhattan","Greenwich Village",40.72692,-73.99948,"Entire home/apt",215,30,110,332
"Manhattan","West Village",40.73041,-74.00326,"Entire home/apt",200,7,34,217
"Manhattan","SoHo",40.72372,-74.00277,"Entire home/apt",199,60,11,281
"Manhattan","Upper East Side",40.77247,-73.94665,"Entire home/apt",110,7,12,0
"Manhattan","Murray Hill",40.75128,-73.97658,"Entire home/apt",165,1,321,185
"Manhattan","Chelsea",40.74026,-74.00079,"Entire home/apt",275,6,61,69
"Manhattan","Upper West Side",40.7839,-73.97897,"Entire home/apt",179,4,12,11
"Manhattan","Upper East Side",40.76985,-73.95815,"Entire home/apt",200,2,17,0
"Manhattan","Hell's Kitchen",40.76257,-73.99303,"Entire home/apt",249,3,35,38
"Manhattan","East Harlem",40.79183,-73.94743,"Entire home/apt",120,7,149,16
"Manhattan","East Village",40.7256,-73.97857,"Entire home/apt",199,3,243,142
"Manhattan","Harlem",40.81726,-73.94583,"Entire home/apt",80,2,54,193
"Manhattan","Harlem",40.80352,-73.95127,"Entire home/apt",136,2,15,6
"Manhattan","East Village",40.7324,-73.98577,"Entire home/apt",165,7,57,32
"Manhattan","Hell's Kitchen",40.7592,-73.99133,"Entire home/apt",148,4,57,0
"Manhattan","East Village",40.73082,-73.98502,"Entire home/apt",175,1,17,0
"Manhattan","Upper West Side",40.77428,-73.98594,"Entire home/apt",1000,30,44,364
"Manhattan","Greenwich Village",40.72812,-74.00191,"Entire home/apt",225,4,51,172
"Manhattan","Hell's Kitchen",40.76206,-73.9998,"Entire home/apt",263,30,11,33
"Manhattan","Harlem",40.82312,-73.94971,"Entire home/apt",433,5,108,318
"Manhattan","Nolita",40.72294,-73.99388,"Entire home/apt",250,4,43,347
"Manhattan","NoHo",40.7256,-73.99445,"Entire home/apt",234,20,29,302
"Manhattan","East Village",40.73045,-73.98541,"Entire home/apt",150,1,11,0
"Manhattan","SoHo",40.72381,-73.99684,"Entire home/apt",595,5,59,169
"Manhattan","Upper West Side",40.78363,-73.97797,"Entire home/apt",349,3,58,341
"Manhattan","East Village",40.72171,-73.98334,"Entire home/apt",99,3,10,0
"Manhattan","Hell's Kitchen",40.76803,-73.98767,"Entire home/apt",160,2,83,105
"Manhattan","Chinatown",40.71695,-73.99031,"Entire home/apt",149,4,12,203
